Maximum,60.2,@,No.1980,,,,,,
365,29.9,gf,0.581,mm,OK,--,3:15:22 PM,4/11/2026,
366,29.6,gf,0.582,mm,OK,--,3:15:22 PM,4/11/2026,
367,29.5,gf,0.584,mm,OK,--,3:15:22 PM,4/11/2026,
368,29.2,gf,0.585,mm,OK,--,3:15:22 PM,4/11/2026,
369,29.2,gf,0.587,mm,OK,--,3:15:22 PM,4/11/2026,
370,29.7,gf,0.589,mm,OK,--,3:15:22 PM,4/11/2026,
371,29.4,gf,0.590,mm,OK,--,3:15:22 PM,4/11/2026,
372,29.4,gf,0.592,mm,OK,--,3:15:22 PM,4/11/2026,
373,29.5,gf,0.593,mm,OK,--,3:15:22 PM,4/11/2026,
374,29.6,gf,0.595,mm,OK,--,3:15:22 PM,4/11/2026,
375,29.3,gf,0.597,mm,OK,--,3:15:22 PM,4/11/2026,
376,30.3,gf,0.598,mm,OK,--,3:15:22 PM,4/11/2026,
377,29.5,gf,0.600,mm,OK,--,3:15:22 PM,4/11/2026,
378,30.2,gf,0.601,mm,OK,--,3:15:22 PM,4/11/2026,
379,29.6,gf,0.603,mm,OK,--,3:15:22 PM,4/11/2026,
380,30.6,gf,0.605,mm,OK,--,3:15:22 PM,4/11/2026,
381,30.4,gf,0.606,mm,OK,--,3:15:22 PM,4/11/2026,
382,30.0,gf,0.608,mm,OK,--,3:15:22 PM,4/11/2026,
383,30.0,gf,0.609,mm,OK,--,3:15:22 PM,4/11/2026,
384,30.4,gf,0.611,mm,OK,--,3:15:22 PM,4/11/2026,
385,30.4,gf,0.612,mm,OK,--,3:15:22 PM,4/11/2026,
386,29.9,gf,0.614,mm,OK,--,3:15:22 PM,4/11/2026,
387,30.2,gf,0.616,mm,OK,--,3:15:22 PM,4/11/2026,
388,30.3,gf,0.617,mm,OK,--,3:15:22 PM,4/11/2026,
389,30.8,gf,0.619,mm,OK,--,3:15:22 PM,4/11/2026,
390,30.4,gf,0.620,mm,OK,--,3:15:22 PM,4/11/2026,
391,30.3,gf,0.622,mm,OK,--,3:15:22 PM,4/11/2026,
392,30.7,gf,0.624,mm,OK,--,3:15:22 PM,4/11/2026,
393,30.7,gf,0.625,mm,OK,--,3:15:22 PM,4/11/2026,
394,30.2,gf,0.627,mm,OK,--,3:15:22 PM,4/11/2026,
395,30.2,gf,0.628,mm,OK,--,3:15:22 PM,4/11/2026,
396,30.0,gf,0.630,mm,OK,--,3:15:22 PM,4/11/2026,
397,30.3,gf,0.632,mm,OK,--,3:15:22 PM,4/11/2026,
398,30.4,gf,0.633,mm,OK,--,3:15:22 PM,4/11/2026,
399,30.9,gf,0.635,mm,OK,--,3:15:22 PM,4/11/2026,
400,30.4,gf,0.636,mm,OK,--,3:15:22 PM,4/11/2026,
401,30.3,gf,0.638,mm,OK,--,3:15:22 PM,4/11/2026,
402,30.8,gf,0.640,mm,OK,--,3:15:22 PM,4/11/2026,
403,30.4,gf,0.641,mm,OK,--,3:15:22 PM,4/11/2026,
404,30.3,gf,0.643,mm,OK,--,3:15:22 PM,4/11/2026,
405,31.4,gf,0.644,mm,OK,--,3:15:22 PM,4/11/2026,
406,30.5,gf,0.646,mm,OK,--,3:15:22 PM,4/11/2026,
407,30.4,gf,0.647,mm,OK,--,3:15:22 PM,4/11/2026,
408,31.5,gf,0.649,mm,OK,--,3:15:22 PM,4/11/2026,
409,30.5,gf,0.651,mm,OK,--,3:15:22 PM,4/11/2026,
410,31.2,gf,0.652,mm,OK,--,3:15:22 PM,4/11/2026,
411,31.6,gf,0.654,mm,OK,--,3:15:22 PM,4/11/2026,
412,31.5,gf,0.655,mm,OK,--,3:15:22 PM,4/11/2026,
413,30.7,gf,0.657,mm,OK,--,3:15:22 PM,4/11/2026,
414,30.8,gf,0.659,mm,OK,--,3:15:22 PM,4/11/2026,
415,31.2,gf,0.660,mm,OK,--,3:15:22 PM,4/11/2026,
416,31.0,gf,0.662,mm,OK,--,3:15:22 PM,4/11/2026,
417,31.5,gf,0.663,mm,OK,--,3:15:22 PM,4/11/2026,
418,31.6,gf,0.665,mm,OK,--,3:15:22 PM,4/11/2026,
419,31.2,gf,0.667,mm,OK,--,3:15:22 PM,4/11/2026,
420,31.2,gf,0.668,mm,OK,--,3:15:22 PM,4/11/2026,
421,31.6,gf,0.670,mm,OK,--,3:15:22 PM,4/11/2026,
422,31.9,gf,0.671,mm,OK,--,3:15:22 PM,4/11/2026,
423,31.0,gf,0.673,mm,OK,--,3:15:22 PM,4/11/2026,
424,31.0,gf,0.675,mm,OK,--,3:15:22 PM,4/11/2026,
425,31.1,gf,0.676,mm,OK,--,3:15:22 PM,4/11/2026,
426,31.9,gf,0.678,mm,OK,--,3:15:22 PM,4/11/2026,
427,31.7,gf,0.679,mm,OK,--,3:15:22 PM,4/11/2026,
428,31.6,gf,0.681,mm,OK,--,3:15:22 PM,4/11/2026,
429,31.1,gf,0.682,mm,OK,--,3:15:22 PM,4/11/2026,
430,31.6,gf,0.684,mm,OK,--,3:15:22 PM,4/11/2026,
431,32.1,gf,0.686,mm,OK,--,3:15:22 PM,4/11/2026,
432,32.3,gf,0.687,mm,OK,--,3:15:22 PM,4/11/2026,
433,31.4,gf,0.689,mm,OK,--,3:15:22 PM,4/11/2026,
434,31.3,gf,0.690,mm,OK,--,3:15:22 PM,4/11/2026,
435,32.2,gf,0.692,mm,OK,--,3:15:22 PM,4/11/2026,
436,32.0,gf,0.694,mm,OK,--,3:15:22 PM,4/11/2026,
437,31.9,gf,0.695,mm,OK,--,3:15:22 PM,4/11/2026,
438,32.1,gf,0.697,mm,OK,--,3:15:22 PM,4/11/2026,
439,32.5,gf,0.698,mm,OK,--,3:15:22 PM,4/11/2026,
440,31.7,gf,0.700,mm,OK,--,3:15:22 PM,4/11/2026,
441,31.5,gf,0.702,mm,OK,--,3:15:22 PM,4/11/2026,
442,31.8,gf,0.703,mm,OK,--,3:15:22 PM,4/11/2026,
443,32.2,gf,0.705,mm,OK,--,3:15:22 PM,4/11/2026,
444,32.6,gf,0.706,mm,OK,--,3:15:22 PM,4/11/2026,
445,31.8,gf,0.708,mm,OK,--,3:15:22 PM,4/11/2026,
446,32.3,gf,0.710,mm,OK,--,3:15:22 PM,4/11/2026,
447,32.6,gf,0.711,mm,OK,--,3:15:22 PM,4/11/2026,
448,32.7,gf,0.713,mm,OK,--,3:15:22 PM,4/11/2026,
449,32.4,gf,0.714,mm,OK,--,3:15:22 PM,4/11/2026,
450,32.4,gf,0.716,mm,OK,--,3:15:22 PM,4/11/2026,
451,32.5,gf,0.717,mm,OK,--,3:15:22 PM,4/11/2026,
452,32.3,gf,0.719,mm,OK,--,3:15:22 PM,4/11/2026,
453,32.9,gf,0.721,mm,OK,--,3:15:22 PM,4/11/2026,
454,32.4,gf,0.722,mm,OK,--,3:15:22 PM,4/11/2026,
455,32.3,gf,0.724,mm,OK,--,3:15:22 PM,4/11/2026,
456,32.0,gf,0.725,mm,OK,--,3:15:22 PM,4/11/2026,
457,32.4,gf,0.727,mm,OK,--,3:15:22 PM,4/11/2026,
458,33.1,gf,0.729,mm,OK,--,3:15:22 PM,4/11/2026,
459,32.6,gf,0.730,mm,OK,--,3:15:22 PM,4/11/2026,
460,32.4,gf,0.732,mm,OK,--,3:15:22 PM,4/11/2026,
461,32.4,gf,0.733,mm,OK,--,3:15:22 PM,4/11/2026,
462,32.1,gf,0.735,mm,OK,--,3:15:22 PM,4/11/2026,
463,32.9,gf,0.737,mm,OK,--,3:15:22 PM,4/11/2026,
464,33.0,gf,0.738,mm,OK,--,3:15:22 PM,4/11/2026,
465,32.9,gf,0.740,mm,OK,--,3:15:22 PM,4/11/2026,
466,33.2,gf,0.741,mm,OK,--,3:15:22 PM,4/11/2026,
467,32.9,gf,0.743,mm,OK,--,3:15:22 PM,4/11/2026,
468,33.4,gf,0.745,mm,OK,--,3:15:22 PM,4/11/2026,
469,32.4,gf,0.746,mm,OK,--,3:15:22 PM,4/11/2026,
470,32.9,gf,0.748,mm,OK,--,3:15:22 PM,4/11/2026,
471,33.3,gf,0.749,mm,OK,--,3:15:22 PM,4/11/2026,
472,33.0,gf,0.751,mm,OK,--,3:15:22 PM,4/11/2026,
473,33.2,gf,0.752,mm,OK,--,3:15:22 PM,4/11/2026,
474,33.6,gf,0.754,mm,OK,--,3:15:22 PM,4/11/2026,
475,33.4,gf,0.756,mm,OK,--,3:15:22 PM,4/11/2026,
476,32.6,gf,0.757,mm,OK,--,3:15:22 PM,4/11/2026,
477,32.6,gf,0.759,mm,OK,--,3:15:22 PM,4/11/2026,
478,32.6,gf,0.760,mm,OK,--,3:15:22 PM,4/11/2026,
479,33.4,gf,0.762,mm,OK,--,3:15:22 PM,4/11/2026,
480,32.8,gf,0.764,mm,OK,--,3:15:22 PM,4/11/2026,
481,32.9,gf,0.765,mm,OK,--,3:15:22 PM,4/11/2026,
482,33.4,gf,0.767,mm,OK,--,3:15:22 PM,4/11/2026,
483,33.2,gf,0.768,mm,OK,--,3:15:22 PM,4/11/2026,
484,33.7,gf,0.770,mm,OK,--,3:15:22 PM,4/11/2026,
485,33.1,gf,0.772,mm,OK,--,3:15:22 PM,4/11/2026,
486,33.9,gf,0.773,mm,OK,--,3:15:22 PM,4/11/2026,
487,32.9,gf,0.775,mm,OK,--,3:15:22 PM,4/11/2026,
488,33.8,gf,0.776,mm,OK,--,3:15:22 PM,4/11/2026,
489,33.3,gf,0.778,mm,OK,--,3:15:22 PM,4/11/2026,
490,34.2,gf,0.780,mm,OK,--,3:15:22 PM,4/11/2026,
491,33.2,gf,0.781,mm,OK,--,3:15:22 PM,4/11/2026,
492,33.8,gf,0.783,mm,OK,--,3:15:22 PM,4/11/2026,
493,34.2,gf,0.784,mm,OK,--,3:15:22 PM,4/11/2026,
494,33.7,gf,0.786,mm,OK,--,3:15:22 PM,4/11/2026,
495,33.2,gf,0.787,mm,OK,--,3:15:22 PM,4/11/2026,
496,33.2,gf,0.789,mm,OK,--,3:15:22 PM,4/11/2026,
497,34.0,gf,0.791,mm,OK,--,3:15:22 PM,4/11/2026,
498,33.6,gf,0.792,mm,OK,--,3:15:22 PM,4/11/2026,
499,34.0,gf,0.794,mm,OK,--,3:15:22 PM,4/11/2026,
500,33.9,gf,0.795,mm,OK,--,3:15:22 PM,4/11/2026,
501,33.5,gf,0.797,mm,OK,--,3:15:22 PM,4/11/2026,
502,34.4,gf,0.799,mm,OK,--,3:15:22 PM,4/11/2026,
503,33.4,gf,0.800,mm,OK,--,3:15:22 PM,4/11/2026,
504,34.0,gf,0.802,mm,OK,--,3:15:22 PM,4/11/2026,
505,34.6,gf,0.803,mm,OK,--,3:15:22 PM,4/11/2026,
506,34.6,gf,0.805,mm,OK,--,3:15:22 PM,4/11/2026,
507,34.6,gf,0.807,mm,OK,--,3:15:22 PM,4/11/2026,
508,34.2,gf,0.808,mm,OK,--,3:15:22 PM,4/11/2026,
509,34.7,gf,0.810,mm,OK,--,3:15:22 PM,4/11/2026,
510,34.4,gf,0.811,mm,OK,--,3:15:22 PM,4/11/2026,
511,34.3,gf,0.813,mm,OK,--,3:15:22 PM,4/11/2026,
512,34.5,gf,0.815,mm,OK,--,3:15:22 PM,4/11/2026,
513,34.2,gf,0.816,mm,OK,--,3:15:22 PM,4/11/2026,
514,34.2,gf,0.818,mm,OK,--,3:15:22 PM,4/11/2026,
515,34.6,gf,0.819,mm,OK,--,3:15:22 PM,4/11/2026,
516,34.4,gf,0.821,mm,OK,--,3:15:22 PM,4/11/2026,
517,34.2,gf,0.823,mm,OK,--,3:15:22 PM,4/11/2026,
518,34.1,gf,0.824,mm,OK,--,3:15:22 PM,4/11/2026,
519,34.9,gf,0.826,mm,OK,--,3:15:22 PM,4/11/2026,
520,35.0,gf,0.827,mm,OK,--,3:15:22 PM,4/11/2026,
521,34.5,gf,0.829,mm,OK,--,3:15:22 PM,4/11/2026,
522,35.1,gf,0.830,mm,OK,--,3:15:22 PM,4/11/2026,
523,34.3,gf,0.832,mm,OK,--,3:15:22 PM,4/11/2026,
524,35.2,gf,0.834,mm,OK,--,3:15:22 PM,4/11/2026,
525,34.8,gf,0.835,mm,OK,--,3:15:22 PM,4/11/2026,
526,35.1,gf,0.837,mm,OK,--,3:15:22 PM,4/11/2026,
527,35.2,gf,0.838,mm,OK,--,3:15:22 PM,4/11/2026,
528,35.3,gf,0.840,mm,OK,--,3:15:22 PM,4/11/2026,
529,35.1,gf,0.842,mm,OK,--,3:15:22 PM,4/11/2026,
530,35.1,gf,0.843,mm,OK,--,3:15:22 PM,4/11/2026,
531,35.1,gf,0.845,mm,OK,--,3:15:22 PM,4/11/2026,
532,35.0,gf,0.846,mm,OK,--,3:15:22 PM,4/11/2026,
533,35.1,gf,0.848,mm,OK,--,3:15:22 PM,4/11/2026,
534,35.0,gf,0.850,mm,OK,--,3:15:22 PM,4/11/2026,
535,34.9,gf,0.851,mm,OK,--,3:15:22 PM,4/11/2026,
536,34.6,gf,0.853,mm,OK,--,3:15:22 PM,4/11/2026,
537,35.6,gf,0.854,mm,OK,--,3:15:22 PM,4/11/2026,
538,34.6,gf,0.856,mm,OK,--,3:15:22 PM,4/11/2026,
539,35.0,gf,0.857,mm,OK,--,3:15:22 PM,4/11/2026,
540,35.5,gf,0.859,mm,OK,--,3:15:22 PM,4/11/2026,
541,35.7,gf,0.861,mm,OK,--,3:15:22 PM,4/11/2026,
542,34.8,gf,0.862,mm,OK,--,3:15:22 PM,4/11/2026,
543,35.5,gf,0.864,mm,OK,--,3:15:22 PM,4/11/2026,
544,35.4,gf,0.865,mm,OK,--,3:15:22 PM,4/11/2026,
545,35.4,gf,0.867,mm,OK,--,3:15:22 PM,4/11/2026,
546,35.4,gf,0.869,mm,OK,--,3:15:22 PM,4/11/2026,
547,35.0,gf,0.870,mm,OK,--,3:15:22 PM,4/11/2026,
548,35.9,gf,0.872,mm,OK,--,3:15:22 PM,4/11/2026,
549,35.0,gf,0.873,mm,OK,--,3:15:22 PM,4/11/2026,
550,35.7,gf,0.875,mm,OK,--,3:15:22 PM,4/11/2026,
551,35.5,gf,0.877,mm,OK,--,3:15:22 PM,4/11/2026,
552,35.9,gf,0.878,mm,OK,--,3:15:22 PM,4/11/2026,
553,35.3,gf,0.880,mm,OK,--,3:15:22 PM,4/11/2026,
554,36.2,gf,0.881,mm,OK,--,3:15:22 PM,4/11/2026,
555,35.3,gf,0.883,mm,OK,--,3:15:22 PM,4/11/2026,
556,35.2,gf,0.885,mm,OK,--,3:15:22 PM,4/11/2026,
557,35.3,gf,0.886,mm,OK,--,3:15:22 PM,4/11/2026,
558,35.8,gf,0.888,mm,OK,--,3:15:22 PM,4/11/2026,
559,35.5,gf,0.889,mm,OK,--,3:15:22 PM,4/11/2026,
560,35.3,gf,0.891,mm,OK,--,3:15:22 PM,4/11/2026,
561,35.6,gf,0.893,mm,OK,--,3:15:22 PM,4/11/2026,
562,35.9,gf,0.894,mm,OK,--,3:15:22 PM,4/11/2026,
563,36.3,gf,0.896,mm,OK,--,3:15:22 PM,4/11/2026,
564,36.0,gf,0.897,mm,OK,--,3:15:22 PM,4/11/2026,
565,36.3,gf,0.899,mm,OK,--,3:15:22 PM,4/11/2026,
566,36.4,gf,0.900,mm,OK,--,3:15:22 PM,4/11/2026,
567,35.5,gf,0.902,mm,OK,--,3:15:22 PM,4/11/2026,
568,36.4,gf,0.904,mm,OK,--,3:15:22 PM,4/11/2026,
569,35.7,gf,0.905,mm,OK,--,3:15:22 PM,4/11/2026,
570,36.4,gf,0.907,mm,OK,--,3:15:22 PM,4/11/2026,
571,36.5,gf,0.908,mm,OK,--,3:15:22 PM,4/11/2026,
572,36.2,gf,0.910,mm,OK,--,3:15:22 PM,4/11/2026,
573,35.9,gf,0.912,mm,OK,--,3:15:22 PM,4/11/2026,
574,36.1,gf,0.913,mm,OK,--,3:15:22 PM,4/11/2026,
575,36.8,gf,0.915,mm,OK,--,3:15:22 PM,4/11/2026,
576,36.6,gf,0.916,mm,OK,--,3:15:22 PM,4/11/2026,
577,36.3,gf,0.918,mm,OK,--,3:15:22 PM,4/11/2026,
578,36.8,gf,0.920,mm,OK,--,3:15:22 PM,4/11/2026,
579,36.9,gf,0.921,mm,OK,--,3:15:22 PM,4/11/2026,
580,36.7,gf,0.923,mm,OK,--,3:15:22 PM,4/11/2026,
581,36.0,gf,0.924,mm,OK,--,3:15:22 PM,4/11/2026,
582,36.3,gf,0.926,mm,OK,--,3:15:22 PM,4/11/2026,
583,36.9,gf,0.927,mm,OK,--,3:15:22 PM,4/11/2026,
584,36.9,gf,0.929,mm,OK,--,3:15:22 PM,4/11/2026,
585,36.9,gf,0.931,mm,OK,--,3:15:22 PM,4/11/2026,
586,37.0,gf,0.932,mm,OK,--,3:15:22 PM,4/11/2026,
587,37.1,gf,0.934,mm,OK,--,3:15:22 PM,4/11/2026,
588,36.8,gf,0.935,mm,OK,--,3:15:22 PM,4/11/2026,
589,37.0,gf,0.937,mm,OK,--,3:15:22 PM,4/11/2026,
590,36.9,gf,0.939,mm,OK,--,3:15:22 PM,4/11/2026,
591,37.2,gf,0.940,mm,OK,--,3:15:22 PM,4/11/2026,
592,37.0,gf,0.942,mm,OK,--,3:15:22 PM,4/11/2026,
593,37.1,gf,0.943,mm,OK,--,3:15:22 PM,4/11/2026,
594,36.6,gf,0.945,mm,OK,--,3:15:22 PM,4/11/2026,
595,36.7,gf,0.947,mm,OK,--,3:15:22 PM,4/11/2026,
596,37.1,gf,0.948,mm,OK,--,3:15:22 PM,4/11/2026,
597,37.2,gf,0.950,mm,OK,--,3:15:22 PM,4/11/2026,
598,36.9,gf,0.951,mm,OK,--,3:15:22 PM,4/11/2026,
599,36.6,gf,0.953,mm,OK,--,3:15:22 PM,4/11/2026,
600,37.0,gf,0.955,mm,OK,--,3:15:22 PM,4/11/2026,
601,37.1,gf,0.956,mm,OK,--,3:15:22 PM,4/11/2026,
602,37.6,gf,0.958,mm,OK,--,3:15:22 PM,4/11/2026,
603,37.0,gf,0.959,mm,OK,--,3:15:22 PM,4/11/2026,
604,37.5,gf,0.961,mm,OK,--,3:15:22 PM,4/11/2026,
605,37.7,gf,0.963,mm,OK,--,3:15:22 PM,4/11/2026,
606,36.8,gf,0.964,mm,OK,--,3:15:22 PM,4/11/2026,
607,37.2,gf,0.966,mm,OK,--,3:15:22 PM,4/11/2026,
608,37.7,gf,0.967,mm,OK,--,3:15:22 PM,4/11/2026,
609,37.8,gf,0.969,mm,OK,--,3:15:22 PM,4/11/2026,
610,37.3,gf,0.970,mm,OK,--,3:15:22 PM,4/11/2026,
611,37.4,gf,0.972,mm,OK,--,3:15:22 PM,4/11/2026,
612,37.2,gf,0.974,mm,OK,--,3:15:22 PM,4/11/2026,
613,37.0,gf,0.975,mm,OK,--,3:15:22 PM,4/11/2026,
614,37.0,gf,0.977,mm,OK,--,3:15:22 PM,4/11/2026,
615,37.6,gf,0.978,mm,OK,--,3:15:22 PM,4/11/2026,
616,37.1,gf,0.980,mm,OK,--,3:15:22 PM,4/11/2026,
617,37.4,gf,0.982,mm,OK,--,3:15:22 PM,4/11/2026,
618,37.8,gf,0.983,mm,OK,--,3:15:22 PM,4/11/2026,
619,37.7,gf,0.985,mm,OK,--,3:15:22 PM,4/11/2026,
620,37.2,gf,0.986,mm,OK,--,3:15:22 PM,4/11/2026,
621,38.2,gf,0.988,mm,OK,--,3:15:22 PM,4/11/2026,
622,38.4,gf,0.990,mm,OK,--,3:15:22 PM,4/11/2026,
623,37.9,gf,0.991,mm,OK,--,3:15:22 PM,4/11/2026,
624,38.2,gf,0.993,mm,OK,--,3:15:22 PM,4/11/2026,
625,37.9,gf,0.994,mm,OK,--,3:15:22 PM,4/11/2026,
626,37.4,gf,0.996,mm,OK,--,3:15:22 PM,4/11/2026,
627,38.5,gf,0.997,mm,OK,--,3:15:22 PM,4/11/2026,
628,37.4,gf,0.999,mm,OK,--,3:15:22 PM,4/11/2026,
629,37.7,gf,1.001,mm,OK,--,3:15:22 PM,4/11/2026,
630,38.0,gf,1.002,mm,OK,--,3:15:22 PM,4/11/2026,
631,37.7,gf,1.004,mm,OK,--,3:15:22 PM,4/11/2026,
632,37.6,gf,1.005,mm,OK,--,3:15:22 PM,4/11/2026,
633,38.7,gf,1.007,mm,OK,--,3:15:22 PM,4/11/2026,
634,38.7,gf,1.009,mm,OK,--,3:15:22 PM,4/11/2026,
635,37.9,gf,1.010,mm,OK,--,3:15:22 PM,4/11/2026,
636,37.8,gf,1.012,mm,OK,--,3:15:22 PM,4/11/2026,
637,38.2,gf,1.013,mm,OK,--,3:15:22 PM,4/11/2026,
638,37.7,gf,1.015,mm,OK,--,3:15:22 PM,4/11/2026,
639,37.9,gf,1.017,mm,OK,--,3:15:22 PM,4/11/2026,
640,38.8,gf,1.018,mm,OK,--,3:15:22 PM,4/11/2026,
641,38.2,gf,1.020,mm,OK,--,3:15:22 PM,4/11/2026,
642,38.0,gf,1.021,mm,OK,--,3:15:22 PM,4/11/2026,
643,38.3,gf,1.023,mm,OK,--,3:15:22 PM,4/11/2026,
644,37.9,gf,1.025,mm,OK,--,3:15:22 PM,4/11/2026,
645,38.1,gf,1.026,mm,OK,--,3:15:22 PM,4/11/2026,
646,39.0,gf,1.028,mm,OK,--,3:15:22 PM,4/11/2026,
647,39.1,gf,1.029,mm,OK,--,3:15:22 PM,4/11/2026,
648,38.8,gf,1.031,mm,OK,--,3:15:22 PM,4/11/2026,
649,38.3,gf,1.032,mm,OK,--,3:15:22 PM,4/11/2026,
650,38.7,gf,1.034,mm,OK,--,3:15:22 PM,4/11/2026,
651,38.9,gf,1.036,mm,OK,--,3:15:22 PM,4/11/2026,
652,39.1,gf,1.037,mm,OK,--,3:15:22 PM,4/11/2026,
653,39.3,gf,1.039,mm,OK,--,3:15:22 PM,4/11/2026,
654,38.4,gf,1.040,mm,OK,--,3:15:22 PM,4/11/2026,
655,38.6,gf,1.042,mm,OK,--,3:15:22 PM,4/11/2026,
656,38.7,gf,1.044,mm,OK,--,3:15:22 PM,4/11/2026,
657,39.0,gf,1.045,mm,OK,--,3:15:22 PM,4/11/2026,
658,38.5,gf,1.047,mm,OK,--,3:15:22 PM,4/11/2026,
659,39.4,gf,1.048,mm,OK,--,3:15:22 PM,4/11/2026,
660,39.5,gf,1.050,mm,OK,--,3:15:22 PM,4/11/2026,
661,38.7,gf,1.052,mm,OK,--,3:15:22 PM,4/11/2026,
662,39.4,gf,1.053,mm,OK,--,3:15:22 PM,4/11/2026,
663,39.2,gf,1.055,mm,OK,--,3:15:22 PM,4/11/2026,
664,38.8,gf,1.056,mm,OK,--,3:15:22 PM,4/11/2026,
665,38.8,gf,1.058,mm,OK,--,3:15:22 PM,4/11/2026,
666,38.9,gf,1.060,mm,OK,--,3:15:22 PM,4/11/2026,
667,38.6,gf,1.061,mm,OK,--,3:15:22 PM,4/11/2026,
668,39.6,gf,1.063,mm,OK,--,3:15:22 PM,4/11/2026,
669,39.1,gf,1.064,mm,OK,--,3:15:22 PM,4/11/2026,
670,39.7,gf,1.066,mm,OK,--,3:15:22 PM,4/11/2026,
671,39.2,gf,1.067,mm,OK,--,3:15:22 PM,4/11/2026,
672,39.9,gf,1.069,mm,OK,--,3:15:22 PM,4/11/2026,
673,39.1,gf,1.071,mm,OK,--,3:15:22 PM,4/11/2026,
674,38.9,gf,1.072,mm,OK,--,3:15:22 PM,4/11/2026,
675,39.3,gf,1.074,mm,OK,--,3:15:22 PM,4/11/2026,
676,39.0,gf,1.075,mm,OK,--,3:15:22 PM,4/11/2026,
677,39.4,gf,1.077,mm,OK,--,3:15:22 PM,4/11/2026,
678,39.3,gf,1.079,mm,OK,--,3:15:22 PM,4/11/2026,
679,39.1,gf,1.080,mm,OK,--,3:15:22 PM,4/11/2026,
680,39.7,gf,1.082,mm,OK,--,3:15:22 PM,4/11/2026,
681,39.6,gf,1.083,mm,OK,--,3:15:22 PM,4/11/2026,
682,39.5,gf,1.085,mm,OK,--,3:15:22 PM,4/11/2026,
683,40.0,gf,1.087,mm,OK,--,3:15:22 PM,4/11/2026,
684,39.4,gf,1.088,mm,OK,--,3:15:22 PM,4/11/2026,
685,39.3,gf,1.090,mm,OK,--,3:15:22 PM,4/11/2026,
686,39.6,gf,1.091,mm,OK,--,3:15:22 PM,4/11/2026,
687,40.4,gf,1.093,mm,OK,--,3:15:22 PM,4/11/2026,
688,39.6,gf,1.095,mm,OK,--,3:15:22 PM,4/11/2026,
689,39.6,gf,1.096,mm,OK,--,3:15:22 PM,4/11/2026,
690,40.1,gf,1.098,mm,OK,--,3:15:22 PM,4/11/2026,
691,39.9,gf,1.099,mm,OK,--,3:15:22 PM,4/11/2026,
692,39.6,gf,1.101,mm,OK,--,3:15:22 PM,4/11/2026,
693,39.9,gf,1.103,mm,OK,--,3:15:22 PM,4/11/2026,
694,40.4,gf,1.104,mm,OK,--,3:15:22 PM,4/11/2026,
695,40.3,gf,1.106,mm,OK,--,3:15:22 PM,4/11/2026,
696,39.9,gf,1.107,mm,OK,--,3:15:22 PM,4/11/2026,
697,40.5,gf,1.109,mm,OK,--,3:15:22 PM,4/11/2026,
698,40.0,gf,1.110,mm,OK,--,3:15:22 PM,4/11/2026,
699,39.7,gf,1.112,mm,OK,--,3:15:22 PM,4/11/2026,
700,40.5,gf,1.114,mm,OK,--,3:15:22 PM,4/11/2026,
701,40.2,gf,1.115,mm,OK,--,3:15:22 PM,4/11/2026,
702,40.3,gf,1.117,mm,OK,--,3:15:22 PM,4/11/2026,
703,40.4,gf,1.118,mm,OK,--,3:15:22 PM,4/11/2026,
704,40.1,gf,1.120,mm,OK,--,3:15:22 PM,4/11/2026,
705,40.1,gf,1.122,mm,OK,--,3:15:22 PM,4/11/2026,
706,40.3,gf,1.123,mm,OK,--,3:15:22 PM,4/11/2026,
707,40.0,gf,1.125,mm,OK,--,3:15:22 PM,4/11/2026,
708,40.3,gf,1.126,mm,OK,--,3:15:22 PM,4/11/2026,
709,41.1,gf,1.128,mm,OK,--,3:15:22 PM,4/11/2026,
710,40.8,gf,1.130,mm,OK,--,3:15:22 PM,4/11/2026,
711,40.2,gf,1.131,mm,OK,--,3:15:22 PM,4/11/2026,
712,40.9,gf,1.133,mm,OK,--,3:15:22 PM,4/11/2026,
713,40.5,gf,1.134,mm,OK,--,3:15:22 PM,4/11/2026,
714,41.0,gf,1.136,mm,OK,--,3:15:22 PM,4/11/2026,
715,41.3,gf,1.137,mm,OK,--,3:15:22 PM,4/11/2026,
716,40.2,gf,1.139,mm,OK,--,3:15:22 PM,4/11/2026,
717,40.8,gf,1.141,mm,OK,--,3:15:22 PM,4/11/2026,
718,40.3,gf,1.142,mm,OK,--,3:15:22 PM,4/11/2026,
719,41.1,gf,1.144,mm,OK,--,3:15:22 PM,4/11/2026,
720,41.4,gf,1.145,mm,OK,--,3:15:22 PM,4/11/2026,
721,41.4,gf,1.147,mm,OK,--,3:15:22 PM,4/11/2026,
722,41.3,gf,1.149,mm,OK,--,3:15:22 PM,4/11/2026,
723,41.1,gf,1.150,mm,OK,--,3:15:22 PM,4/11/2026,
724,41.2,gf,1.152,mm,OK,--,3:15:22 PM,4/11/2026,
725,41.1,gf,1.153,mm,OK,--,3:15:22 PM,4/11/2026,
726,41.7,gf,1.155,mm,OK,--,3:15:22 PM,4/11/2026,
727,40.6,gf,1.157,mm,OK,--,3:15:22 PM,4/11/2026,
728,41.4,gf,1.158,mm,OK,--,3:15:22 PM,4/11/2026,
729,41.0,gf,1.160,mm,OK,--,3:15:22 PM,4/11/2026,
730,41.3,gf,1.161,mm,OK,--,3:15:22 PM,4/11/2026,
731,41.2,gf,1.163,mm,OK,--,3:15:22 PM,4/11/2026,
